Code,Name,LHD/RHD,Brand,Year,Photo,Release
MGT00726,AlphaTauri AT04 #22 Yuki Tsunoda 2023 F1 Australian GP,,Red Bull Racing,,,
MGT00727,AlphaTauri AT04 #21 Nick de Vries 2023 F1 Australian GP,,Red Bull Racing,,,
MGT00728,Alfa Romeo C43 #24 Zhou Guanyu 2023 F1 Australian GP,,Alfa Romeo,,,October2024
MGT00729,Alfa Romeo C43 #77 Valtteri Bottas 2023 F1 Australian GP,,Alfa Romeo,,,October2024
MGT00730,Nissan Skyline Kenmeri Liberty Walk Chrome Blue,,LB Works,,Hobby Expo China 2024 Exclusive,April2024
MGT00731,,,,,File:MGT00731.jpg,
MGT00732,Nissan Z LB✭NATION WORKS Serian Blue,,LB Works,,,June2024
MGT00733,Lamborghini Countach LPI 800-4 New Giallo Orion,,Lamborghini,,,June2024
MGT00734,Land Rover Defender 110 1985 County Station Wagon Russet Brown,,Land Rover,,,November2024
MGT00735,Porsche 911 Turbo S Safety Car 2023 IMSA Daytona 24 Hrs,,Porsche,,,September2024
MGT00736,Cadillac V-Series.R #311 Action Express Racing 2023 Le Mans 24 Hrs,,Cadillac,,,August2024
MGT00737,Nissan Z LB★NATION WORKS Red,LHD,LB Works,,,March2024
MGT00738,Porsche 963 #5 Porsche Penske Motorsport 2023 24 Hrs of Le Mans,,Porsche,,,
MGT00739,Porsche 963 #6 Porsche Penske Motorsport 2023 24 Hrs of Le Mans,,Porsche,,,
MGT00740,Porsche 963 #75 Porsche Penske Motorsport 2023 24 Hrs of Le Mans,,Porsche,,,
MGT00741,Mercedes-Benz Actros w/ Racing Transporter ADVAN,,Mercedes-Benz,,,September2024
MGT00742,LB-Silhouette WORKS GT Nissan 35GT-RR Ver.1 LBWK KUMA,,LB Works,,,September2024
MGT00743,Nissan LB-Super Silhouette S15 Silvia LB Kuma,,LB Works,,,December2024
MGT00744,Aston Martin Valkyrie Sunburst Yellow,,Aston Martin,,,August2024
MGT00745,Cadillac V-Series.R #31 Whelen Engineering Cadillac racing 2023 IMSA Sebring 12 Hrs Winner,,Cadillac,,,September2024
MGT00746,Lamborghini Huracán STO Viola Pasifae,,Lamborghini,,,October2024
MGT00747,Lamborghini Urus Performante Grigio Nimbus,,Lamborghini,,,September2024
MGT00748,Lamborghini Revuelto Blu Eleos,,Lamborghini,,,October2024
MGT00749,Nissan Silvia (S15) Top Secret Matte Blue w/ Red Accent,,Top Secret,,Malaysia Diecast Expo 2024 Exclusive,May2024
MGT00750,Nissan Silvia (S15) Top Secret Matte Blue w/ Gold Accent,,Top Secret,,Malaysia Diecast Expo 2024 Dinner Exclusive,May2024
MGT00751,Land Rover Defender 110 1989 Camel Trophy Amazon Team Japan,,Land Rover,,,September2024
MGT00752,Nissan Z Pandem Ikazuchi Yellow,,Nissan,,,September2024
MGT00753,Honda Civic Type R #3 2023 Pace Car Blue,,Honda,,,August2024
MGT00754,"Nissan GT-R Nismo GT3 #360 ""Runup Rivaux GT-R"" Tomei Spports 2023 Super GT Series",LHD,Nissan,,,November2024
MGT00755,Nissan Z GT500 #230 2021 Nismo Presentation,LHD,Nissan,,,November2024
